"word","definition","reasoning"
"nom","(colloquial) Used to denote eating, or enjoyment of eating.","The definition '(colloquial) Used to denote eating, or enjoyment of eating.' is a common and natural description of the word 'nom'."
"noma","(pathology) A gangrenous disease of humans leading to tissue destruction of the face, especially the mouth and cheek.","The definition '(pathology) A gangrenous disease of humans leading to tissue destruction of the face, especially the mouth and cheek.' provides a clear and concise explanation of the word 'noma'."
"nomad","(anthropology) A member of a society or class who herd animals from pasture to pasture with no fixed home.","The definition '(anthropology) A member of a society or class who herd animals from pasture to pasture with no fixed home.' is a common and natural description of the word 'nomad'."
"nonet","(music) A composition for nine instruments or nine voices.","The definition '(music) A composition for nine instruments or nine voices.' provides a clear and concise explanation of the word 'nonet'."
"nor","A function word introducing each except the first term of a series, indicating none of them is true.","The definition 'A function word introducing each except the first term of a series, indicating none of them is true.' is a common and natural description of the word 'nor'."
"nos","(countable) Acronym of nitrous oxide system.","The definition '(countable) Acronym of nitrous oxide system.' provides a clear and concise explanation of the word 'nos'."
"not","Negates the meaning of the modified verb.","The definition 'Negates the meaning of the modified verb.' is a common and natural description of the word 'not'."
"note","A mark or token by which a thing may be known; a visible sign; a character; a distinctive mark or feature; a characteristic quality.","The definition 'A mark or token by which a thing may be known; a visible sign; a character; a distinctive mark or feature; a characteristic quality.' provides a clear and concise explanation of the word 'note'."
"notes","plural of note","The definition 'plural of note' is a common and natural description of the word 'notes'."
"nova","(astronomy) Any sudden brightening of a previously inconspicuous star.","The definition '(astronomy) Any sudden brightening of a previously inconspicuous star.' provides a clear and concise explanation of the word 'nova'."
"now","Present; current.","The definition 'Present; current.' is a common and natural description of the word 'now'."
"nub","The essence or core of an issue, argument etc.","The definition 'The essence or core of an issue, argument etc.' provides a clear and concise explanation of the word 'nub'."
"nus","plural of nu","The definition 'plural of nu' is a common and natural description of the word 'nus'."
"nut","(food, loosely) Any of various hard-shelled seeds or hard, dry fruits from various families of plants.","The definition '(food, loosely) Any of various hard-shelled seeds or hard, dry fruits from various families of plants.' provides a clear and concise explanation of the word 'nut'."
"nuts","(slang) The testicles.","The definition '(slang) The testicles.' is a common and natural description of the word 'nuts'."
"oaf","(derogatory) A person, especially a large male, who is clumsy or a simpleton.","The definition '(derogatory) A person, especially a large male, who is clumsy or a simpleton.' provides a clear and concise explanation of the word 'oaf'."
"oat","(uncountable) Widely cultivated cereal grass, typically Avena sativa.","The definition '(uncountable) Widely cultivated cereal grass, typically Avena sativa.' is a common and natural description of the word 'oat'."
"obi","A sash worn with a kimono.","The definition 'A sash worn with a kimono.' provides a clear and concise explanation of the word 'obi'."
"ode","A short poetical composition proper to be set to music or sung; a lyric poem; especially, now, a poem characterized by sustained noble sentiment and appropriate dignity of style.","The definition 'A short poetical composition proper to be set to music or sung; a lyric poem; especially, now, a poem characterized by sustained noble sentiment and appropriate dignity of style.' is a common and natural description of the word 'ode'."
"ofay","(US, ethnic slur, slang) A white person.","The first definition is more specific and provides a clear understanding of the word's meaning."
"ogre","(mythology, folklore) A large, grotesque, brutish humanoid monster, typically marked by great strength and a propensity to kill or devour humans.","The first definition is more detailed and provides a better understanding of the word's mythological context."
"ohm","In the International System of Units, the derived unit of electrical resistance; the electrical resistance of a device across which a potential difference of one volt causes a current of one ampere.","The only definition provided is a clear and concise explanation of the word's meaning in the context of electrical resistance."
"ooh","An expression of surprise.","The first definition is a common and natural description of the word's meaning as an expression of surprise."
"oohs","plural of ooh","The second definition is a more straightforward explanation of the word's meaning as the plural form of 'ooh'."
"orb","A spherical body; a sphere, especially one of the celestial spheres; a sun, planet, or star","The first definition is a clear and concise explanation of the word's meaning as a spherical body or object."
"org","Clipping of organization.","The only definition provided is a clear and concise explanation of the word's meaning as a clipping of 'organization'."
"orig","Abbreviation of original.","The only definition provided is a clear and concise explanation of the word's meaning as an abbreviation of 'original'."
"oud","(music) A short-necked and fretless plucked stringed instrument of the lute family, of Arab and Turkish origin.","The first definition is a more specific and detailed explanation of the word's meaning as a musical instrument."
"ova","(cytology, embryology) plural of ovum (“gamete”)","The first definition is a clear and concise explanation of the word's meaning in the context of biology and cytology."
"pac","Alternative form of pack.","The first definition is a clear and concise explanation of the word's meaning as an alternative form of 'pack'."
"pacer","One who paces.","The first definition is a clear and concise explanation of the word's meaning as one who paces."
"pad","A flattened mass of anything soft, to sit or lie on.","The first definition is a common and natural description of the word's meaning as a flattened mass of soft material."
"pah","Used to express distaste, disgust or outrage.","The first definition is a clear and concise explanation of the word's meaning as an expression of distaste or disgust."
"pal","(colloquial) A friend, buddy, mate, cobber; someone to hang around with.","The first definition is a common and natural description of the word's meaning as a friend or buddy."
"pals","plural of pal","The first definition is a more straightforward explanation of the word's meaning as the plural form of 'pal'."
"pam","The jack of clubs in loo played with hands of 5 cards.","The first definition is a clear and concise explanation of the word's meaning in the context of card games."
"pan","A wide, flat receptacle used around the house, especially for cooking.","The first definition is a common and natural description of the word's meaning as a wide, flat receptacle."
"pans","plural of pan","The first definition is a more straightforward explanation of the word's meaning as the plural form of 'pan'."
"par","(in compounds) By; with.","The fifth definition is a clear and concise explanation of the word's meaning in the context of equality or standard."
"part","A portion; a component.","The first definition is a common and natural description of the word's meaning as a portion or component."
"parts","plural of part","The first definition is a more straightforward explanation of the word's meaning as the plural form of 'part'."
"pas","(now rare) The right of going foremost; precedence.","The first definition is a clear and concise explanation of the word's meaning in the context of precedence or priority."
"pat","The sound of a light slap or tap with a soft flat object, especially of a footstep.","The first definition is a common and natural description of the word's meaning as the sound of a light slap or tap."
"paws","plural of paw","The first definition is a more straightforward explanation of the word's meaning as the plural form of 'paw'."
"pay","(ambitransitive) To give money or other compensation to in exchange for goods or services.","The definition '(ambitransitive) To give money or other compensation to in exchange for goods or services.' is a common and natural description of the word 'pay' without revealing the word itself or using close variations."
"ped","(on traffic signs) A pedestrian.","The definition '(on traffic signs) A pedestrian.' is a common and readable description of the word 'ped' without being too technical or obscure."
"peed","simple past and past participle of pee","The definition 'simple past and past participle of pee' is a grammatical definition but given the limited options, it's the most suitable choice as it doesn't reveal the word itself directly and is a common description."
"peek","To look slyly, or with the eyes half closed, or through a crevice; to peep.","The definition 'To look slyly, or with the eyes half closed, or through a crevice; to peep.' is a natural and common description of the word 'peek' without giving away the word itself."
"peels","plural of peel","The definition 'plural of peel' is a direct grammatical definition and the best option given, as it describes the word 'peels' without using close variations of the word itself."
"pees","plural of pee","The definition 'plural of pee' is a direct grammatical definition and the best option given, as it describes the word 'pees' without using close variations of the word itself."
"per","For each.","The definition 'For each.' is a common and natural description of the word 'per' without revealing the word itself or using close variations."
"pes","the foot of a human","The definition 'the foot of a human' is a common and readable description of the word 'pes' without being too technical or obscure."
"pets","plural of pet","The definition 'plural of pet' is a direct grammatical definition and the best option given, as it describes the word 'pets' without using close variations of the word itself."
"pin","A needle without an eye (usually) made of drawn-out steel wire with one end sharpened and the other flattened or rounded into a head, used for fastening.","The definition 'A needle without an eye (usually) made of drawn-out steel wire with one end sharpened and the other flattened or rounded into a head, used for fastening.' is a detailed and common description of the word 'pin' without giving away the word itself."
"pins","plural of pin","The definition 'plural of pin' is a direct grammatical definition and the best option given, as it describes the word 'pins' without using close variations of the word itself."
"pis","plural of pi","The definition 'plural of pi' is a direct grammatical definition and the best option given, as it describes the word 'pis' without using close variations of the word itself."
"pit","A hole in the ground.","The definition 'A hole in the ground.' is a common and natural description of the word 'pit' without revealing the word itself or using close variations."
"plug","(electricity) A pronged connecting device which fits into a mating socket, especially an electrical one.","The definition '(electricity) A pronged connecting device which fits into a mating socket, especially an electrical one.' is a detailed and common description of the word 'plug' without giving away the word itself."
"pol","(informal) A politician.","The definition '(informal) A politician.' is a common and readable description of the word 'pol' without being too technical or obscure."
"pols","plural of pol","The definition 'plural of pol' is a direct grammatical definition and the best option given, as it describes the word 'pols' without using close variations of the word itself."
"pom","(Australia, New Zealand, South Africa, mildly derogatory slang) An Englishman; a Briton; a person of British descent.","The definition '(Australia, New Zealand, South Africa, mildly derogatory slang) An Englishman; a Briton; a person of British descent.' is a common and readable description of the word 'pom' without being too technical or obscure."
"pooh","Expressing dismissal, contempt, impatience, etc.","The definition 'Expressing dismissal, contempt, impatience, etc.' is a common and natural description of the word 'pooh' without revealing the word itself or using close variations."
"pool","A small and rather deep area of (usually) fresh water, as one supplied by a spring, or occurring in the course of a stream or river; a reservoir for water.","The definition 'A small and rather deep area of (usually) fresh water, as one supplied by a spring, or occurring in the course of a stream or river; a reservoir for water.' is a detailed and common description of the word 'pool' without giving away the word itself."
"pools","plural of pool","The definition 'plural of pool' is a direct grammatical definition and the best option given, as it describes the word 'pools' without using close variations of the word itself."
"poons","plural of poon","The definition 'plural of poon' is a direct grammatical definition and the best option given, as it describes the word 'poons' without using close variations of the word itself."
"ports","plural of port","The definition 'plural of port' is a direct grammatical definition and the best option given, as it describes the word 'ports' without using close variations of the word itself."
"pos","(UK, slang) Clipping of positive.","The definition '(UK, slang) Clipping of positive.' is a common and readable description of the word 'pos' without being too technical or obscure."
"pot","A flat-bottomed vessel (usually metal) used for cooking food, possibly excluding saucepans (see usage notes).","The definition 'A flat-bottomed vessel (usually metal) used for cooking food, possibly excluding saucepans (see usage notes).' is a detailed and common description of the word 'pot' without giving away the word itself."
"pots","plural of pot","The definition 'plural of pot' is a direct grammatical definition and the best option given, as it describes the word 'pots' without using close variations of the word itself."
"pow","The sound of a violent impact, such as a punch.","The definition 'The sound of a violent impact, such as a punch.' is a common and natural description of the word 'pow' without revealing the word itself."
"pps","Alternative form of PPS.","The definition 'Alternative form of PPS.' is the best choice as it does not reveal the word itself and is a valid definition."
"prat","(now Scotland) A cunning or mischievous trick; a prank, a joke.","The definition '(now Scotland) A cunning or mischievous trick; a prank, a joke.' is a common and natural description of the word 'prat' without revealing the word itself."
"proc","(programming) Abbreviation of procedure.","The definition '(programming) Abbreviation of procedure.' is a common and natural description of the word 'proc' without revealing the word itself."
"prod","(transitive) To poke, to push, to touch.","The definition '(transitive) To poke, to push, to touch.' is a common and natural description of the word 'prod' without revealing the word itself."
"prog","Clipping of progressive.","The definition 'Clipping of progressive.' is a common and natural description of the word 'prog' without revealing the word itself."
"psi","(uncountable, parapsychology, science fiction) A form of psychic energy.","The definition '(uncountable, parapsychology, science fiction) A form of psychic energy.' is a common and natural description of the word 'psi' without revealing the word itself."
"pst","Alternative form of psst.","The definition 'Alternative form of psst.' is the best choice as it does not reveal the word itself and is a valid definition."
"pta","Abbreviation of peseta.","The definition 'Abbreviation of peseta.' is a common and natural description of the word 'pta' without revealing the word itself."
"pud","(colloquial) Pudding (either sweet or savoury).","The definition '(colloquial) Pudding (either sweet or savoury).' is a common and natural description of the word 'pud' without revealing the word itself."
"pupils","plural of pupil","The definition 'plural of pupil' is not ideal, but it's the only option available."
"pus","(medicine, pathology) A whitish-yellow or yellow substance composed primarily of dead white blood cells and dead pyogenic bacteria, normally found in regions of bacterial infection.","The definition '(medicine, pathology) A whitish-yellow or yellow substance composed primarily of dead white blood cells and dead pyogenic bacteria, normally found in regions of bacterial infection.' is a common and natural description of the word 'pus' without revealing the word itself."
"rad","(metrology) A non-SI unit of absorbed dose of radiation, equal to 0.01 gray, that is, 1 centigray.","The definition '(metrology) A non-SI unit of absorbed dose of radiation, equal to 0.01 gray, that is, 1 centigray.' is a common and natural description of the word 'rad' without revealing the word itself."
"rag","(especially in the plural) Tattered clothes (clothing).","The definition '(especially in the plural) Tattered clothes (clothing).' is a common and natural description of the word 'rag' without revealing the word itself."
"raga","(countable, music) Any of various melodic forms used in Indian classical music, or a piece of music composed in such a form.","The definition '(countable, music) Any of various melodic forms used in Indian classical music, or a piece of music composed in such a form.' is a common and natural description of the word 'raga' without revealing the word itself."
"rail","A horizontal bar extending between supports and used for support or as a barrier; a railing.","The definition 'A horizontal bar extending between supports and used for support or as a barrier; a railing.' is a common and natural description of the word 'rail' without revealing the word itself."
"raj","(South Asia) Reign; rule.","The definition '(South Asia) Reign; rule.' is a common and natural description of the word 'raj' without revealing the word itself."
"raja","Alternative spelling of rajah.","The definition 'Alternative spelling of rajah.' is the best choice as it does not reveal the word itself and is a valid definition."
"ram","(zoology, agriculture) A male sheep, typically uncastrated.","The definition '(zoology, agriculture) A male sheep, typically uncastrated.' is a common and natural description of the word 'ram' without revealing the word itself."
"rank","(obsolete) Quickly, eagerly, impetuously.","The definition 'One's position in a list sorted by a shared property such as physical location, population, popularity, or quality.' is a common and natural description of the word 'rank' without revealing the word itself."
"rap","(countable) A sharp blow with something hard.","The definition '(countable) A sharp blow with something hard.' is a common and natural description of the word 'rap' without revealing the word itself."
"raps","plural of rap","The definition 'plural of rap' is not ideal, but it's the only option available that doesn't reveal the word itself."
"rat","Any of the numerous members of several rodent families that usually have short limbs, a pointy snout, a long, hairless tail, and a body length greater than about 12 cm, or 5 inches.","The definition 'Any of the numerous members of several rodent families that usually have short limbs, a pointy snout, a long, hairless tail, and a body length greater than about 12 cm, or 5 inches.' is a common and natural description of the word 'rat' without revealing the word itself."
"rats","plural of rat","The definition 'plural of rat' is not ideal, but it's the only option available."
"raw","(cooking) (of food) Not cooked.","The definition '(cooking) (of food) Not cooked.' is a common and natural description of the word 'raw' without revealing the word itself."
"rebut","To deny the truth of something, especially by presenting arguments that disprove it.","The second definition is more descriptive and natural, providing a clear understanding of the word's meaning without revealing the word itself."
"recap","To recapitulate.","The fifth definition is a common and natural description of the word, avoiding technical jargon and grammatical redirects."
"recaps","plural of recap","Although it's a grammatical redirect, it's the most straightforward definition available for this word, and there are no other options that better fit the criteria."
"red","(countable and uncountable) The colour of the setting sun, blood, and strawberries; the colour which is evoked by the longest visible wavelengths (between about 625–740 nm), and a primary additive colour.","The first definition is a common and natural description of the word, providing a clear understanding of its meaning as a color."
"redan","A defensive fortification work in the shape of a V.","The only available definition is a clear and descriptive explanation of the word's meaning, making it the best choice."
"redo","To do again.","The first definition is a simple and natural description of the word, providing a clear understanding of its meaning as an action."
"redraw","To draw again.","The first definition is a common and descriptive explanation of the word's meaning, making it the best choice."
"reed","(countable) Any of various types of tall stiff perennial grass-like plants growing together in groups near water.","The first definition is a clear and natural description of the word, providing a understanding of its meaning as a type of plant."
"reef","A chain or range of rocks, sand, or coral lying at or near the surface of the water.","The first definition is a common and descriptive explanation of the word's meaning, making it the best choice."
"reel","A kind of spool, turning on an axis, on which yarn, threads, lines, or the like, are wound.","The fourth definition is a clear and descriptive explanation of the word's meaning as a device, making it a good choice."
"ref","(informal) Clipping of referee.","The first definition is a common and natural description of the word, providing a clear understanding of its meaning as a clipping of 'referee'."
"reffed","simple past and past participle of ref","The only available definition is a grammatical redirect, but it's the most straightforward explanation of the word's meaning."
"reg","(informal) A regular.","The first definition is a common and natural description of the word, providing a clear understanding of its meaning as a clipping of 'regular'."
"regal","Of, pertaining to, or suitable for royalty.","The first definition is a clear and descriptive explanation of the word's meaning, making it the best choice."
"regnal","Of or pertaining to the reign of a monarch (or pope).","The first definition is a common and natural description of the word, providing a clear understanding of its meaning in relation to a monarch's reign."
"reined","simple past and past participle of rein","The only available definition is a grammatical redirect, but it's the most straightforward explanation of the word's meaning."
"reit","(UK, dialect, obsolete) sedge; seaweed","The only available definition is a clear and descriptive explanation of the word's meaning, making it the best choice."
"reknit","To knit again.","The only available definition is a clear and descriptive explanation of the word's meaning, making it the best choice."
"relaid","simple past and past participle of relay (“lay again”)","The only available definition is a grammatical redirect, but it's the most straightforward explanation of the word's meaning."
"relive","(transitive) To experience (something) again; to live over again.","The first definition is a clear and descriptive explanation of the word's meaning, making it the best choice."
"remark","An act of pointing out or noticing; notice or observation.","The first definition is a common and natural description of the word, providing a clear understanding of its meaning as an act of noticing or observing."
"remit","(transitive) To transmit or send (e.g. money in payment); to supply.","The first definition is a clear and descriptive explanation of the word's meaning, making it the best choice."
"rennet","An enzyme used as the first step in making cheese, to curdle the milk and coagulate the casein in it, derived by soaking the fourth stomach of a milk-fed calf in brine.","The first definition is a clear and descriptive explanation of the word's meaning, making it the best choice."
"rep","(informal) Clipping of reputation.","The first definition is a common and natural description of the word, providing a clear understanding of its meaning as a clipping of 'reputation'."
"repaid","simple past and past participle of repay","The only available definition is a grammatical redirect, but it's the most straightforward explanation of the word's meaning."
"repel","(transitive) To ward off (a malignant influence, attack etc.).","This definition is a common and natural description of the word, and it does not reveal the word itself or use close variations."
"res","(Canada, US, informal) Clipping of reservation or reserve (semiautonomous Indigenous territory).","This definition is a common and readable description of the word, and it does not reveal the word itself or use close variations."
"resat","simple past and past participle of resit","There is only one definition available for this word, so it is the best choice by default."
"resew","Alternative spelling of re-sew.","There is only one definition available for this word, so it is the best choice by default."
"retool","(transitive) To adjust; to optimize; to rebuild.","There is only one definition available for this word, so it is the best choice by default."
"retrad","(anatomy) backward","This definition is a common and natural description of the word, and it does not reveal the word itself or use close variations."
"retros","plural of retro","There is only one definition available for this word, so it is the best choice by default."
"rets","third-person singular simple present indicative of ret","There is only one definition available for this word, so it is the best choice by default."
"reval","(travel, aviation, informal) A revalidated ticket.","This definition is a common and readable description of the word, and it does not reveal the word itself or use close variations."
"revel","An instance of merrymaking; a celebration.","This definition is a common and natural description of the word, and it does not reveal the word itself or use close variations."
"reviled","simple past and past participle of revile","There is only one definition available for this word, so it is the best choice by default."
"reward","Something of value given in return for an act.","This definition is a common and natural description of the word, and it does not reveal the word itself or use close variations."
"ria","(geography) A narrow inlet of the sea formed by a flooded unglaciated river valley.","This definition is a common and readable description of the word, and it does not reveal the word itself or use close variations."
"rial","The official currencies of Iran, Oman, and Yemen.","This definition is a common and natural description of the word, and it does not reveal the word itself or use close variations."
"rid","Followed by of: to free (oneself or someone, or a place) from an annoyance or hindrance.","This definition is a common and natural description of the word, and it does not reveal the word itself or use close variations."
"rif","Alternative letter-case form of RIF.","There is only one definition available for this word, so it is the best choice by default."
"rim","An edge around something, especially when circular.","This definition is a common and natural description of the word, and it does not reveal the word itself or use close variations."
"rime","Archaic in the form rimes: originally, any frozen dew forming a white deposit on exposed surfaces; hoar frost (sense 1).","This definition is a common and readable description of the word, and it does not reveal the word itself or use close variations."
"rimy","Coated in rime.","There is only one definition available for this word, so it is the best choice by default."
"rob","(transitive) To steal from, especially using force or violence.","This definition is a common and natural description of the word, and it does not reveal the word itself or use close variations."
"roc","An enormous mythical bird in Eastern legend.","This definition is a common and readable description of the word, and it does not reveal the word itself or use close variations."
"rod","A straight, round stick, shaft, bar, cane, or staff.","This definition is a common and natural description of the word, and it does not reveal the word itself or use close variations."
"roger","(radio telecommunications, procedure word) Received (used in radio communications to acknowledge that a message has been received and understood)","This definition is a common and readable description of the word, and it does not reveal the word itself or use close variations."
"rok","Alternative form of roc.","There is only one definition available for this word, so it is the best choice by default."
"rolf","(transitive) To apply the Rolfing massage technique to.","This definition is a common and readable description of the word, and it does not reveal the word itself or use close variations."
"roma","Alternative letter-case form of Roma (“a variety of tomato”).","Only one definition available"
"ron","(slang) heroin","Only one definition available, and it's a common usage of the word"
"rood","A measure of land area, equal to a quarter of an acre.","This definition is more common and readable than the others, and it doesn't reveal the word itself"
"room","(countable) A separate part of a building, enclosed by walls, a floor and a ceiling.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"rot","(intransitive) To suffer decomposition due to biological action, especially by fungi or bacteria.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"rots","plural of rot","This definition is more common and readable than the other, and it doesn't reveal the word itself"
"rub","An act of rubbing.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"rue","Any of various perennial shrubs of the genus Ruta, especially the herb Ruta graveolens (common rue), formerly used in medicines.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"rug","A partial covering for a floor.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"rya","A Scandinavian knotted-pile woollen rug, used as bed-cover and tapestry.","Only one definition available, and it's a common usage of the word"
"saba","(cooking) A sweet grape syrup made from grape must","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"sacco","(rare) Alternative letter-case form of SACCO.","Only one definition available, but it's not very descriptive"
"sag","The state of sinking or bending; a droop.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"said","Mentioned earlier; aforesaid.","This definition is more common and readable than the other, and it doesn't reveal the word itself"
"sail","(nautical) A piece of fabric attached to a boat and arranged such that it causes the wind to drive the boat along. The sail may be attached to the boat via a combination of mast, spars and ropes.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"sakis","plural of saki","Only one definition available, and it's a common usage of the word"
"sal","(chemistry, obsolete) Salt.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"sam","(transitive, UK dialectal) To assemble.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"sap","(uncountable) The juice of plants of any kind, especially the ascending and descending juices or circulating fluid essential to nutrition.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"saps","third-person singular simple present indicative of sap","This definition is more common and readable than the other, and it doesn't reveal the word itself"
"sari","The traditional dress of women in the Indian Subcontinent; an outer garment consisting of a single length of cotton or silk, most often with one end wrapped around the waist to form a skirt, the other draped over the shoulder or head.","Only one definition available, and it's a common usage of the word"
"sate","(transitive) To satisfy the appetite or desire of; to fill up.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"saw","A tool used for cutting hard substances, in particular wood or metal.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"scam","A fraudulent deal.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"scram","(intransitive, originally US, often imperative) To leave in a hurry; to go away.","This definition is a common and natural description of the word, and it doesn't reveal the word itself"
"secret","(countable) A piece of knowledge that is hidden and intended to be kept hidden.","This definition is a common and natural description of the word 'secret', without revealing the word itself or using close variations."
"seel","(falconry) To sew together the eyelids of a young hawk.","This definition is a common and readable description of the word 'seel', without being too technical or obscure."
"seep","(intransitive) To ooze or pass slowly through pores or other small openings, and in overly small quantities; said of liquids, etc.","This definition is a common and natural description of the word 'seep', without revealing the word itself or using close variations."
"sega","(music) A genre of popular music mainly associated with Mauritius.","This is the only definition available for the word 'sega', and it provides a clear and concise description of the term."
"seined","simple past and past participle of seine","This definition is a grammatical redirect, but it's the only option available for the word 'seined'."
"selah","(biblical) A word occurring between verses or paragraphs in parts of the Hebrew Bible, namely in Habakkuk and the Psalms; perhaps indicating a pause, either for contemplation or for clearing the throat in singing.","This definition is a common and natural description of the word 'selah', without revealing the word itself or using close variations."
"sem","Clipping of seminary.","This definition is a common and readable description of the word 'sem', without being too technical or obscure."
"sep","Abbreviation of sepal.","This definition is a common and natural description of the word 'sep', without revealing the word itself or using close variations."
"ser","Abbreviation of serial.","This definition is a common and readable description of the word 'ser', without being too technical or obscure."
"serif","(typography) A short line added to the end of a stroke in traditional typefaces, such as Times New Roman.","This definition is a common and natural description of the word 'serif', without revealing the word itself or using close variations."
"seton","(medicine, agriculture) A few silk threads or horsehairs, or a strip of linen etc., introduced beneath the skin by a knife or needle, so as to induce suppuration; also, the issue so formed.","This definition is a common and readable description of the word 'seton', without being too technical or obscure."
"shad","Any one of several species of food fishes that make up the genus Alosa in the family Clupeidae, to which the herrings also belong; river herring.","This definition is a common and natural description of the word 'shad', without revealing the word itself or using close variations."
"shh","Demanding silence.","This definition is a common and readable description of the word 'shh', without being too technical or obscure."
"shoo","(transitive, informal) To induce someone or something to leave.","This definition is a common and natural description of the word 'shoo', without revealing the word itself or using close variations."
"sib","Having kinship or relationship; related by same-bloodedness; kindred.","This definition is a common and readable description of the word 'sib', without being too technical or obscure."
"sid","(slang) sadiki","This definition is a common and natural description of the word 'sid', without revealing the word itself or using close variations."
"sikas","plural of sika","This definition is a grammatical redirect, but it's the only option available for the word 'sikas'."
"silos","plural of silo","This definition is a grammatical redirect, but it's the only option available for the word 'silos'."
"sima","(architecture) The upturned edge of a roof which acts as a gutter; a cyma.","This definition is a common and readable description of the word 'sima', without being too technical or obscure."
"sinned","simple past and past participle of sin","This definition is a grammatical redirect, but it's the only option available for the word 'sinned'."
"sip","A small mouthful of drink.","This definition is a common and natural description of the word 'sip', without revealing the word itself or using close variations."
"sire","A lord, master, or other person in authority, most commonly used vocatively: formerly in speaking to elders and superiors, later only when addressing a sovereign.","This definition is a common and readable description of the word 'sire', without being too technical or obscure."
"sirrah","(obsolete) A term of address to an inferior male or more commonly a child. A modern-day equivalent would be ""little man"".","This definition is a common and natural description of the word 'sirrah', without revealing the word itself or using close variations."
"siva","Any of various birds formerly of genus Siva, now part of genus Actinodura, of barwings.","This definition is a common and readable description of the word 'siva', without being too technical or obscure."
"six","A numerical value equal to 6; the number following five and preceding seven. This number of dots: (••••••).","This definition is a common and natural description of the word 'six', without revealing the word itself or using close variations."
"skua","Any of various predatory seabirds of the genus Stercorarius that often chase other seabirds to steal their catches.","The first definition is a clear and concise description of the word, providing a natural and readable explanation without revealing the word itself."
"skuas","plural of skua","Although the first definition is a grammatical redirect, it is the only option available that does not directly reference the word itself in a trivial manner, thus it's chosen by default due to lack of better options."
"slag","Waste material from a mine.","The first definition provides a common and natural description of the word, focusing on its primary meaning related to mining without using close variations of the word."
"slap","(countable) A blow, especially one given with the open hand, or with something broad and flat.","The first definition offers a straightforward and readable explanation of the word, describing a physical action without revealing the word itself or using trivial redirects."
"sleek","Having an even, smooth surface; smooth","The first definition gives a clear and concise description of the word, focusing on its primary meaning related to smoothness without using variations of the word."
"sleep","(intransitive) To rest in a state of reduced consciousness.","The first definition provides a natural and common description of the word, explaining its primary meaning without revealing the word itself or using trivial grammatical redirects."
"sleets","third-person singular simple present indicative of sleet","Given the limited options, the first definition is chosen by default as it's the only available choice, despite being a grammatical redirect."
"slim","Slender; thin.","The first definition offers a clear and readable explanation of the word, describing its primary meaning related to physical appearance without using close variations of the word."
"slipup","Alternative form of slip-up.","The only definition provided is chosen by default, as there are no other options to evaluate against the given criteria."
"sloop","(nautical) A single-masted sailboat with only one headsail.","The first definition provides a clear and concise description of the word, focusing on its primary meaning related to sailing without using variations of the word."
"sloops","plural of sloop","Given the limited options, the first definition is chosen by default as it's the only available choice, despite being a grammatical redirect."
"slop","(obsolete) A loose outer garment; a jacket or overall.","The first definition offers a natural and readable explanation of the word, describing its primary meaning related to clothing without using close variations of the word."
"smart","(informal) Exhibiting intellectual knowledge, such as that found in books.","The fifth definition provides a clear and concise description of the word, focusing on its meaning related to intelligence and ability without using variations of the word."
"smug","Irritatingly pleased with oneself; offensively self-complacent, self-satisfied.","The first definition gives a clear and readable explanation of the word, describing its primary meaning related to self-satisfaction without revealing the word itself."
"smut","(uncountable) Soot.","The first definition offers a natural and common description of the word, explaining its primary meaning related to soot without using close variations of the word."
"snap","A quick breaking or cracking sound or the action of producing such a sound.","The first definition provides a clear and concise description of the word, focusing on its primary meaning related to a sudden sound without using variations of the word."
"snaps","plural of snap","Given the limited options, the first definition is chosen by default as it's the only available choice, despite being a grammatical redirect."
"snip","To cut with short sharp actions, as with scissors.","The first definition offers a clear and readable explanation of the word, describing its primary meaning related to cutting without using close variations of the word."
"snips","plural of snip","Given the limited options, the first definition is chosen by default as it's the only available choice, despite being a grammatical redirect."
"snit","(slang) A temper; a bad mood.","The first definition provides a natural and readable explanation of the word, describing its primary meaning related to a temper without using close variations of the word."
"snoop","To be devious and cunning so as not to be seen.","The first definition gives a clear and concise description of the word, focusing on its primary meaning related to spying without revealing the word itself."
"snoops","plural of snoop","Given the limited options, the first definition is chosen by default as it's the only available choice, despite being a grammatical redirect."
"snot","(informal, uncountable, sometimes slightly vulgar) Mucus, especially mucus from the nose.","The first definition offers a clear and readable explanation of the word, describing its primary meaning related to mucus without using close variations of the word."
"snub","Conspicuously short.","The first definition provides a natural and common description of the word, explaining its primary meaning related to physical appearance without using variations of the word."
"snug","Warm and comfortable; cosy.","The first definition gives a clear and concise description of the word, focusing on its primary meaning related to warmth and comfort without revealing the word itself."
